timestamp	tool	detail
15:15:07	Bash	ls /mnt/d/_workspace/cc/md2pdf-tool/ 
15:15:12	Grep	quot|html.Escape|EscapeString|&amp;|&#34; 
15:15:15	Read	/mnt/d/_workspace/cc/md2pdf-tool/converter.go 
15:25:15	Bash	ls /mnt/d/_workspace/cc/md2pdf-tool/_tmp/ 2>/dev/null; find / -path /proc -prune -o -name "*.go" -print 2>/dev/null | xargs grep -l "goldmark-pdf" 2>/dev/null | head -5 
15:25:23	Bash	ls ~/go/pkg/mod/github.com/stephenafamo/ 2>/dev/null; ls ~/go/pkg/mod/github.com/ 2>/dev/null | head 
15:25:28	Bash	grep -rn "quot\|EscapeString\|html.Escape\|&amp" ~/go/pkg/mod/github.com/stephenafamo/goldmark-pdf@v0.4.2/ 2>/dev/null | head -30 
15:25:33	Grep	Write|Segments|util.EscapeHTML|html\. 
15:25:36	Grep	WriteText|EscapeHTML 
15:25:42	Read	/home/gml/go/pkg/mod/github.com/stephenafamo/goldmark-pdf@v0.4.2/renderer.go 
15:25:50	Edit	/mnt/d/_workspace/cc/md2pdf-tool/converter.go 
15:25:56	Bash	go build -o md2pdf_test . 2>&1 | head -20 
15:25:59	Bash	which go; ls /usr/local/go/bin/ 2>/dev/null; ls ~/go/bin/ 2>/dev/null; command -v go || find /usr/lib/go* -name go -type f 2>/dev/null | head -3 
15:26:04	Bash	ls /usr/lib/go*/bin/go /opt/go/bin/go /snap/go/current/bin/go 2>/dev/null; apt list --installed 2>/dev/null | grep -i golang | head -3 
15:31:12	Bash	ls /mnt/c/Program\ Files/Go/bin/ 2>/dev/null; ls /mnt/c/Go/bin/ 2>/dev/null; find /mnt/c -maxdepth 4 -name "go.exe" 2>/dev/null | head -3 
15:31:15	Bash	cmd.exe /c "where go" 2>&1 | head -5 
15:31:25	Bash	ls /usr/local/go 2>/dev/null && echo "EXISTS" || echo "MISSING" 
15:31:58	Bash	ls $HOME/go-sdk 2>/dev/null; ls $HOME/go/bin 2>/dev/null; ls $HOME/*.tar.gz 2>/dev/null 
15:32:15	Bash	$HOME/go/bin/go version 
15:32:21	Bash	$HOME/go/bin/go build -o md2pdf_linux . 2>&1 | tail -20 
15:32:27	Bash	ls -la /mnt/d/_workspace/cc/md2pdf-tool/md2pdf_linux 2>&1 | head -3 
15:32:33	Write	/tmp/quote_test.md 
15:32:38	Bash	./md2pdf_linux /tmp/quote_test.md /tmp/quote_test.pdf 2>&1; ls -la /tmp/quote_test.pdf 
15:32:43	Bash	pdftotext /tmp/quote_test.pdf - 2>/dev/null | head -30 
15:32:55	Bash	sudo -n apt-get install -y poppler-utils 2>&1 | tail -3 || pip install --quiet pypdf 2>&1 | tail -3 
